kodas,pavadinimas,adresas
191283559,Adakavo Šv. Jono Krikštytojo parapija,"Tauragės r. sav., Skaudvilės sen., Adakavo I k."
191258919,Adomynės Švč. M. Marijos Vardo parapija,"Kupiškio r. sav., Šimonių sen., Adomynės k."
191304042,Adutiškio Švč. M. Marijos Škaplierinės parapija,"Švenčionių r. sav., Adutiškis, Postavų g. 5, LT-18290"
191246945,Akmens Nukryžiuotojo Jėzaus parapija,"Varėnos r. sav., Jakėnų sen., Akmenio k."
191292412,Akmenynų Šv. Roko parapija,"Kalvarijos sav., Akmenynų sen., Akmenynų k."
190768812,Akmenės šv. Onos parapija,"Akmenės r. sav., Akmenė, K. Kasakausko g. 5, LT-85367"
192084738,Alantos Šv. apašt. Jokūbo parapija,"Molėtų r. sav., Alanta, Palaukės g. 1A, LT-33312"
191269552,Aleksandravėlės Šv. Pranciškaus Serafiškojo parapija,"Rokiškio r. sav., Obelių sen., Aleksandravėlės k."
191278416,Aleksandrijos Nukryžiuotojo Jėzaus parapija,"Skuodo r. sav., Aleksandrijos sen., Aleksandrijos k."
191287956,Aleksoto Šv. Kazimiero parapija,"Kaunas, Vidukalnio g. 4, LT-46275"
191300930,Alionių Švč. Marijos Nekaltojo Prasidėjimo parapija,"Širvintų r. sav., Alionių sen., Alionių I k."
191259063,Alizavos Šv. Jono Krikštytojo parapija,"Kupiškio r. sav., Alizava, Kalno g. 15, LT-40445"
191313244,Alksninės Kristaus Atsimainymo parapija,"Vilkaviškio r. sav., Bartninkų sen., Margų k. 6, LT-70333"
191297683,Alksnėnų Švč. M. Marijos Ėmimo į dangų parapija,"Vilkaviškio r. sav., Pilviškių sen., Alksnėnų k."
191236260,Alovės Švč. Trejybės parapija,"Alytaus r. sav., Alovės sen., Alovės k."
191276550,Alsėdžių Švč. M. Marijos Nekalto Prasidėjimo parapija,"Plungės r. sav., Alsėdžiai, Bažnyčios g. 2, LT-90472"
191297726,Alvito Šv. Onos parapija,"Vilkaviškio r. sav., Šeimenos sen., Alvito k."
191289811,Alytaus Šv. Angelų Sargų parapija,"Alytus, Savanorių g. 14, LT-62142"
302468748,Alytaus Šv. Brunono Kverfurtiečio parapija,"Alytus, Kalnėnų g. 2A, LT-62324"
192067621,Alytaus Šv. Kazimiero parapija,"Alytus, Varėnos g. 24A, LT-62168"
